input,output,hint,weight,color
bu̍t lí,bu̍t-lí,,700,
bu̍t lí,物理,,809,
bu̍t siu,bu̍t-siu,,700,
bu̍t siu,没收,,809,
bà,bà,,0,
bà suh,bah-suh,,700,
bà suh,峇士,,809,
bài,bài,,0,
bàn,bàn,,0,
bàng,bàng,,0,
bàng gah,bàng-gah,,713,
bàng gà,bàng-gah,,700,
bàu,bàu,,0,
bá,bá,,0,
bá suh,bah-suh,,700,
bá suh,峇士,,809,
bái,bái,,727,
bái,呆,,682,
bái châi,bái-châi,,700,
bái châi,呆才,,609,
bán,bán,,730,
bán,挽,,895,
bán hôe,bán-hôe,,700,
bán hôe,挽回,,809,
báng,báng,,713,
báng,艋,,67,
báng,蚊,,898,
báng kah,Báng-kah,,713,
báng kah,艋舺,,822,
báng sut,Báng-sut,,700,
báng sut,蚊蟀,,809,
báng tà,báng-tà,,700,
báng tà,蚊罩,,809,
báng á,báng-á,,713,
báng á,蚊仔,,822,
báu,Báu,,700,
báu,báu,,700,
báu,卯,,675,
bâ,bâ,,0,
bâ,猫,,71,
bâ,痲,,80,
bâ,麻,,480,
bâ á,bâ-á,,700,
bâ á,猫仔,,809,
bâi,bâi,,0,
bâi,楣,,66,
bâi,眉,,273,
bân,bân,,0,
bân,閩,,98,
bân,鰻,,69,
bân bân,Bân-bân,,713,
bân bân,万巒,,821,
bân bân,万蠻,,819,
bân bân,萬巒,,822,
bân bân,萬蠻,,820,
bân kok,Bân-kok,,700,
bân kok,曼谷,,809,
bân lâm,Bân-lâm,,700,
bân lâm,閩南,,809,
bâng,bâng,,700,
bâng,忙,,800,
bâng,芒,,824,
bâng,茫,,823,
bâng bâng,bâng-bâng,,713,
bâng bâng,芒芒,,819,
bâng bâng,茫茫,,818,
bâng su su,bâng su-su,,713,
bâu,bâu,,0,
bæ,bæ,,0,
bæh,bæh,,0,
bæ̀,bæ̀,,0,
bæ̂,bæ̂,,0,
bæ̆,bæ̆,,0,
bæ̍h,bæ̍h,,0,
bè,bè,,0,
bèng,bèng,,0,
bé,bé,,735,
bé,尾,,706,
bé,瑪,,78,
bé,碼,,69,
bé,買,,705,
bé,馬,,895,
bé chhiú,bé-chhiú,,709,
bé chhiú,尾手,,818,
bé chui,bé-chui,,700,
bé chui,尾錐,,809,
bé ia̍h,bé-ia̍h,,709,
bé ia̍h,尾蝶,,818,
bé liu,bé-liu,,723,
bé liu,尾鰍,,632,
bé ló,bé-ló,,700,
bé ló,瑪瑙,,800,
bé séng,bé-séng,,700,
bé séng,尾省,,809,
bé thâu,bé-thâu,,713,
bé thâu,碼頭,,822,
bé thâu,馬頭,,821,
bé á,bé-·á,,700,
bé á,bé-á,,700,
bé á,尾仔,,809,
béng,béng,,0,
béng,猛,,472,
bê,bê,,727,
bê,糜,,657,
bê,迷,,818,
bêng,bêng,,730,
bêng,冥,,480,
bêng,名,,489,
bêng,明,,895,
bêng,暝,,71,
bêng,鳴,,486,
bêng bêng,bêng-bêng,,727,
bêng bêng,明明,,836,
bêng khak,bêng-khak,,700,
bêng khak,明確,,809,
bêng kó͘ ok,Bêng-kó͘-ok,,700,
bêng kó͘ ok,名古屋,,809,
bêng láng,bêng-láng,,700,
bêng láng,明籠,,609,
bêng pe̍k,bêng-pe̍k,,713,
bêng pe̍k,明白,,822,
bêng sû,bêng-sû,,700,
bêng sû,名詞,,809,
bì,bì,,0,
bì luh,bih-luh,,727,
bì luh,bì-luh,,727,
bì lù,bih-luh,,713,
bì lù,bì-luh,,713,
bìn,bìn,,0,
bí,bí,,713,
bí,弥,,78,
bí,弭,,72,
bí,彌,,81,
bí,米,,898,
bí,米,2+4,971,
bí,美,,493,
bí chiu,Bí-chiu,,700,
bí chiu,米州,,805,
bí chiu,米洲,,804,
bí chiu,美州,,804,
bí chiu,美洲,,803,
bí chiú,bí-chiú,,700,
bí chiú,米酒,,809,
bí hún,bí-hún,,713,
bí hún,米粉,,822,
bí hún chhá,bí-hún-chhá,,713,
bí hún chhá,米粉炒,,822,
bí ko,bí-ko,,713,
bí ko,米糕,,822,
bí kok,Bí-kok,,727,
bí kok,米國,,836,
bí kok,美國,,835,
bí kám,bí-kám,,700,
bí kám,美感,,809,
bí leng,bí-leng,,713,
bí leng,米乳,,822,
bí lin,bí-lin,,700,
bí lin,米乳,,809,
bí lē,bí-lē,,727,
bí lē,美麗,,836,
bí lē tó,Bí-lē-tó,,713,
bí lē tó,美麗島,,822,
bín,bín,,700,
bín,抿,,625,
bín,敏,,626,
bín chia̍t,bín-chia̍t,,713,
bín chia̍t,敏捷,,822,
bín kám,bín-kám,,713,
bín kám,敏感,,822,
bín tāu,bín-tāu,,713,
bín tāu,敏豆,,822,
bî,bî,,0,
bî,弥,,72,
bî,彌,,81,
bî,微,,489,
bî,楣,,66,
bî,眉,,473,
bî long,Bî-long,,713,
bî long,彌濃,,821,
bî long,瀰濃,,822,
bîn,bîn,,0,
