input,output,annotation,weight,category
ā sī,iā sī,,999,
ā sī,也是,,999,
ā tio̍h,ā-tio̍h,,999,
ā tio̍h,也着,,999,
ā ū,ā-ū,,999,
ā ū,也有,,999,
ām niá,ām-niá,,999,
ām niá,頷領,,999,
ām á niá,ām-á-niá,,999,
ām á niá,頷仔領,,999,
ē,ē,,999,
ē,下,,999,
ē,會,,999,
ē,能,,999,
ēng,ēng,,999,
ēng,用,,999,
ōe,ōe,,999,
ōe,話,,999,
ōe hó͘ lān,ōe hó͘-lān,,999,
ōe hó͘ lān,畫虎玍,,999,
ō͘ oân,ō͘-oân,,999,
ō͘ oân,芋丸,,999,
ū,ū,,999,
ū,有,,999,
ūi hó͘ lān,ūi hó͘-lān,,999,
ūi hó͘ lān,畫虎玍,,999,
ūi hô,ūi-hô,,999,
ūi hô,爲何,,999,
ūi tio̍h,ūi-tio̍h,,999,
ūi tio̍h,爲着,,999,
